N° medida;Fecha;Voltaje Shunt;Voltaje Bus;Voltaje total;Corriente;Potencia;Memoria Libre; Memoria Usada;Memoria Total;Proceso Node
1;2020-12-02 08:47:01.956;h;h;h;h;h;613408;334896;948304;No Activo
2;2020-12-02 08:47:02.199;h;h;h;h;h;611352;336952;948304;No Activo
3;2020-12-02 08:47:02.431;h;h;h;h;h;611260;337044;948304;No Activo
4;2020-12-02 08:47:02.673;h;h;h;h;h;611772;336532;948304;No Activo
5;2020-12-02 08:47:02.931;h;h;h;h;h;612008;336296;948304;No Activo
6;2020-12-02 08:47:03.163;h;h;h;h;h;611756;336548;948304;No Activo
7;2020-12-02 08:47:03.394;h;h;h;h;h;611848;336456;948304;No Activo
8;2020-12-02 08:47:03.626;h;h;h;h;h;612068;336236;948304;No Activo
9;2020-12-02 08:47:03.883;h;h;h;h;h;612336;335968;948304;No Activo
10;2020-12-02 08:47:04.140;h;h;h;h;h;612084;336220;948304;No Activo
11;2020-12-02 08:47:04.372;h;h;h;h;h;612344;335960;948304;No Activo
12;2020-12-02 08:47:04.604;h;h;h;h;h;612100;336204;948304;No Activo
13;2020-12-02 08:47:04.836;h;h;h;h;h;612084;336220;948304;No Activo
14;2020-12-02 08:47:05.093;h;h;h;h;h;611848;336456;948304;No Activo
15;2020-12-02 08:47:05.350;h;h;h;h;h;612084;336220;948304;No Activo
16;2020-12-02 08:47:05.582;h;h;h;h;h;612336;335968;948304;No Activo
17;2020-12-02 08:47:05.814;h;h;h;h;h;612336;335968;948304;No Activo
18;2020-12-02 08:47:06.047;h;h;h;h;h;611832;336472;948304;No Activo
19;2020-12-02 08:47:06.307;h;h;h;h;h;611832;336472;948304;No Activo
20;2020-12-02 08:47:06.566;h;h;h;h;h;612084;336220;948304;No Activo
21;2020-12-02 08:47:06.798;h;h;h;h;h;612084;336220;948304;No Activo
22;2020-12-02 08:47:07.030;h;h;h;h;h;612100;336204;948304;No Activo
23;2020-12-02 08:47:07.263;h;h;h;h;h;612084;336220;948304;No Activo
24;2020-12-02 08:47:07.522;h;h;h;h;h;612016;336288;948304;No Activo
25;2020-12-02 08:47:07.779;h;h;h;h;h;612284;336020;948304;No Activo
26;2020-12-02 08:47:08.011;h;h;h;h;h;612016;336288;948304;No Activo
27;2020-12-02 08:47:08.243;h;h;h;h;h;612268;336036;948304;No Activo
28;2020-12-02 08:47:08.477;h;h;h;h;h;612092;336212;948304;No Activo
29;2020-12-02 08:47:08.736;h;h;h;h;h;612376;335928;948304;No Activo
30;2020-12-02 08:47:09.004;h;h;h;h;h;612644;335660;948304;No Activo
31;2020-12-02 08:47:09.235;h;h;h;h;h;612644;335660;948304;No Activo
32;2020-12-02 08:47:09.469;h;h;h;h;h;612860;335444;948304;No Activo
33;2020-12-02 08:47:09.701;h;h;h;h;h;618688;329616;948304;No Activo
34;2020-12-02 08:47:09.936;h;h;h;h;h;618600;329704;948304;No Activo
35;2020-12-02 08:47:10.171;h;h;h;h;h;618324;329980;948304;No Activo
36;2020-12-02 08:47:10.404;h;h;h;h;h;617928;330376;948304;No Activo
37;2020-12-02 08:47:10.666;h;h;h;h;h;617920;330384;948304;No Activo
38;2020-12-02 08:47:10.934;h;h;h;h;h;617912;330392;948304;No Activo
39;2020-12-02 08:47:11.167;h;h;h;h;h;617912;330392;948304;No Activo
40;2020-12-02 08:47:11.400;h;h;h;h;h;617928;330376;948304;No Activo
41;2020-12-02 08:47:11.634;h;h;h;h;h;617920;330384;948304;No Activo
42;2020-12-02 08:47:11.892;h;h;h;h;h;617904;330400;948304;No Activo
43;2020-12-02 08:47:12.150;h;h;h;h;h;617636;330668;948304;No Activo
44;2020-12-02 08:47:12.384;h;h;h;h;h;617668;330636;948304;No Activo
45;2020-12-02 08:47:12.617;h;h;h;h;h;617668;330636;948304;No Activo
46;2020-12-02 08:47:12.851;h;h;h;h;h;617652;330652;948304;No Activo
47;2020-12-02 08:47:13.112;h;h;h;h;h;617652;330652;948304;No Activo
48;2020-12-02 08:47:13.373;h;h;h;h;h;617668;330636;948304;No Activo
49;2020-12-02 08:47:13.606;h;h;h;h;h;617652;330652;948304;No Activo
50;2020-12-02 08:47:13.840;h;h;h;h;h;617644;330660;948304;No Activo
51;2020-12-02 08:47:14.073;h;h;h;h;h;617700;330604;948304;No Activo
52;2020-12-02 08:47:14.330;h;h;h;h;h;617908;330396;948304;No Activo
53;2020-12-02 08:47:14.591;h;h;h;h;h;617908;330396;948304;No Activo
54;2020-12-02 08:47:14.823;h;h;h;h;h;617932;330372;948304;No Activo
55;2020-12-02 08:47:15.056;h;h;h;h;h;617932;330372;948304;No Activo
56;2020-12-02 08:47:15.288;h;h;h;h;h;617936;330368;948304;No Activo
57;2020-12-02 08:47:15.547;h;h;h;h;h;617652;330652;948304;No Activo
58;2020-12-02 08:47:15.805;h;h;h;h;h;617936;330368;948304;No Activo
59;2020-12-02 08:47:16.038;h;h;h;h;h;617684;330620;948304;No Activo
60;2020-12-02 08:47:16.270;h;h;h;h;h;617936;330368;948304;No Activo
61;2020-12-02 08:47:16.503;h;h;h;h;h;617684;330620;948304;No Activo
62;2020-12-02 08:47:16.762;h;h;h;h;h;617668;330636;948304;No Activo
63;2020-12-02 08:47:17.020;h;h;h;h;h;617668;330636;948304;No Activo
64;2020-12-02 08:47:17.252;h;h;h;h;h;617936;330368;948304;No Activo
65;2020-12-02 08:47:17.485;h;h;h;h;h;617416;330888;948304;No Activo
66;2020-12-02 08:47:17.717;h;h;h;h;h;617364;330940;948304;No Activo
67;2020-12-02 08:47:17.979;h;h;h;h;h;617692;330612;948304;No Activo
68;2020-12-02 08:47:18.238;h;h;h;h;h;618168;330136;948304;No Activo
69;2020-12-02 08:47:18.499;h;h;h;h;h;618188;330116;948304;No Activo
70;2020-12-02 08:47:18.760;h;h;h;h;h;618220;330084;948304;No Activo
71;2020-12-02 08:47:18.993;h;h;h;h;h;618372;329932;948304;No Activo
72;2020-12-02 08:47:19.226;h;h;h;h;h;618364;329940;948304;No Activo
73;2020-12-02 08:47:19.460;h;h;h;h;h;618440;329864;948304;No Activo
74;2020-12-02 08:47:19.719;h;h;h;h;h;618440;329864;948304;No Activo
75;2020-12-02 08:47:19.954;h;h;h;h;h;618172;330132;948304;No Activo
76;2020-12-02 08:47:20.188;h;h;h;h;h;618440;329864;948304;No Activo
77;2020-12-02 08:47:20.422;h;h;h;h;h;618424;329880;948304;No Activo
78;2020-12-02 08:47:20.680;h;h;h;h;h;618228;330076;948304;No Activo
79;2020-12-02 08:47:20.938;h;h;h;h;h;618236;330068;948304;No Activo
80;2020-12-02 08:47:21.172;h;h;h;h;h;618228;330076;948304;No Activo
81;2020-12-02 08:47:21.406;h;h;h;h;h;618428;329876;948304;No Activo
82;2020-12-02 08:47:21.638;h;h;h;h;h;618464;329840;948304;No Activo
83;2020-12-02 08:47:21.896;h;h;h;h;h;618456;329848;948304;No Activo
84;2020-12-02 08:47:22.129;h;h;h;h;h;618480;329824;948304;No Activo
85;2020-12-02 08:47:22.363;h;h;h;h;h;618180;330124;948304;No Activo
86;2020-12-02 08:47:22.596;h;h;h;h;h;618432;329872;948304;No Activo
87;2020-12-02 08:47:22.856;h;h;h;h;h;618668;329636;948304;No Activo
88;2020-12-02 08:47:23.090;h;h;h;h;h;618432;329872;948304;No Activo
89;2020-12-02 08:47:23.322;h;h;h;h;h;618684;329620;948304;No Activo
90;2020-12-02 08:47:23.554;h;h;h;h;h;618456;329848;948304;No Activo
91;2020-12-02 08:47:23.818;h;h;h;h;h;618700;329604;948304;No Activo
92;2020-12-02 08:47:24.051;h;h;h;h;h;618684;329620;948304;No Activo
93;2020-12-02 08:47:24.285;h;h;h;h;h;618432;329872;948304;No Activo
94;2020-12-02 08:47:24.520;h;h;h;h;h;618716;329588;948304;No Activo
95;2020-12-02 08:47:24.777;h;h;h;h;h;618708;329596;948304;No Activo
96;2020-12-02 08:47:25.010;h;h;h;h;h;618724;329580;948304;No Activo
97;2020-12-02 08:47:25.244;h;h;h;h;h;618708;329596;948304;No Activo
98;2020-12-02 08:47:25.477;h;h;h;h;h;618684;329620;948304;No Activo
99;2020-12-02 08:47:25.734;h;h;h;h;h;618448;329856;948304;No Activo
100;2020-12-02 08:47:25.967;h;h;h;h;h;618432;329872;948304;No Activo
101;2020-12-02 08:47:26.200;h;h;h;h;h;618424;329880;948304;No Activo
102;2020-12-02 08:47:26.434;h;h;h;h;h;618448;329856;948304;No Activo
103;2020-12-02 08:47:26.692;h;h;h;h;h;618180;330124;948304;No Activo
104;2020-12-02 08:47:26.949;h;h;h;h;h;618172;330132;948304;No Activo
105;2020-12-02 08:47:27.182;h;h;h;h;h;618196;330108;948304;No Activo
106;2020-12-02 08:47:27.414;h;h;h;h;h;618220;330084;948304;No Activo
107;2020-12-02 08:47:27.646;h;h;h;h;h;618212;330092;948304;No Activo
108;2020-12-02 08:47:27.905;h;h;h;h;h;618180;330124;948304;No Activo
109;2020-12-02 08:47:28.165;h;h;h;h;h;618448;329856;948304;No Activo
110;2020-12-02 08:47:28.399;h;h;h;h;h;617976;330328;948304;No Activo
111;2020-12-02 08:47:28.632;h;h;h;h;h;618196;330108;948304;No Activo
112;2020-12-02 08:47:28.866;h;h;h;h;h;618188;330116;948304;No Activo
113;2020-12-02 08:47:29.127;h;h;h;h;h;618228;330076;948304;No Activo
114;2020-12-02 08:47:29.386;h;h;h;h;h;618188;330116;948304;No Activo
115;2020-12-02 08:47:29.620;h;h;h;h;h;618212;330092;948304;No Activo
116;2020-12-02 08:47:29.852;h;h;h;h;h;618204;330100;948304;No Activo
117;2020-12-02 08:47:30.084;h;h;h;h;h;618472;329832;948304;No Activo
118;2020-12-02 08:47:30.342;h;h;h;h;h;618456;329848;948304;No Activo
119;2020-12-02 08:47:30.599;h;h;h;h;h;618440;329864;948304;No Activo
120;2020-12-02 08:47:30.861;h;h;h;h;h;617964;330340;948304;No Activo
121;2020-12-02 08:47:31.093;h;h;h;h;h;617696;330608;948304;No Activo
122;2020-12-02 08:47:31.325;h;h;h;h;h;617956;330348;948304;No Activo
123;2020-12-02 08:47:31.557;h;h;h;h;h;618192;330112;948304;No Activo
124;2020-12-02 08:47:31.815;h;h;h;h;h;618444;329860;948304;No Activo
125;2020-12-02 08:47:32.047;h;h;h;h;h;618200;330104;948304;No Activo
126;2020-12-02 08:47:32.279;h;h;h;h;h;617948;330356;948304;No Activo
127;2020-12-02 08:47:32.511;h;h;h;h;h;617848;330456;948304;No Activo
128;2020-12-02 08:47:32.769;h;h;h;h;h;617660;330644;948304;No Activo
129;2020-12-02 08:47:33.026;h;h;h;h;h;617776;330528;948304;No Activo
130;2020-12-02 08:47:33.258;h;h;h;h;h;618120;330184;948304;No Activo
131;2020-12-02 08:47:33.492;h;h;h;h;h;618192;330112;948304;No Activo
132;2020-12-02 08:47:33.726;h;h;h;h;h;618224;330080;948304;No Activo
133;2020-12-02 08:47:33.984;h;h;h;h;h;618216;330088;948304;No Activo
134;2020-12-02 08:47:34.240;h;h;h;h;h;618460;329844;948304;No Activo
135;2020-12-02 08:47:34.473;h;h;h;h;h;618736;329568;948304;No Activo
136;2020-12-02 08:47:34.708;h;h;h;h;h;618720;329584;948304;No Activo
137;2020-12-02 08:47:34.942;h;h;h;h;h;618696;329608;948304;No Activo
138;2020-12-02 08:47:35.199;h;h;h;h;h;618704;329600;948304;No Activo
139;2020-12-02 08:47:35.456;h;h;h;h;h;618948;329356;948304;No Activo
140;2020-12-02 08:47:35.689;h;h;h;h;h;618988;329316;948304;No Activo
141;2020-12-02 08:47:35.923;h;h;h;h;h;618704;329600;948304;No Activo
142;2020-12-02 08:47:36.157;h;h;h;h;h;618436;329868;948304;No Activo
143;2020-12-02 08:47:36.416;h;h;h;h;h;618452;329852;948304;No Activo
144;2020-12-02 08:47:36.673;h;h;h;h;h;618680;329624;948304;No Activo
145;2020-12-02 08:47:36.906;h;h;h;h;h;618964;329340;948304;No Activo
146;2020-12-02 08:47:37.141;h;h;h;h;h;618980;329324;948304;No Activo
147;2020-12-02 08:47:37.374;h;h;h;h;h;618948;329356;948304;No Activo
148;2020-12-02 08:47:37.635;h;h;h;h;h;618932;329372;948304;No Activo
149;2020-12-02 08:47:37.894;h;h;h;h;h;618972;329332;948304;No Activo
150;2020-12-02 08:47:38.154;h;h;h;h;h;618704;329600;948304;No Activo
151;2020-12-02 08:47:38.388;h;h;h;h;h;618932;329372;948304;No Activo
152;2020-12-02 08:47:38.623;h;h;h;h;h;618980;329324;948304;No Activo
153;2020-12-02 08:47:38.856;h;h;h;h;h;618932;329372;948304;No Activo
154;2020-12-02 08:47:39.116;h;h;h;h;h;618932;329372;948304;No Activo
155;2020-12-02 08:47:39.377;h;h;h;h;h;618932;329372;948304;No Activo
156;2020-12-02 08:47:39.611;h;h;h;h;h;618680;329624;948304;No Activo
157;2020-12-02 08:47:39.845;h;h;h;h;h;618728;329576;948304;No Activo
158;2020-12-02 08:47:40.078;h;h;h;h;h;618728;329576;948304;No Activo
159;2020-12-02 08:47:40.338;h;h;h;h;h;618680;329624;948304;No Activo
160;2020-12-02 08:47:40.601;h;h;h;h;h;618688;329616;948304;No Activo
161;2020-12-02 08:47:40.833;h;h;h;h;h;618760;329544;948304;No Activo
162;2020-12-02 08:47:41.066;h;h;h;h;h;619020;329284;948304;No Activo
163;2020-12-02 08:47:41.298;h;h;h;h;h;619296;329008;948304;No Activo
164;2020-12-02 08:47:41.559;h;h;h;h;h;619224;329080;948304;No Activo
165;2020-12-02 08:47:41.826;h;h;h;h;h;619500;328804;948304;No Activo
166;2020-12-02 08:47:42.060;h;h;h;h;h;619516;328788;948304;No Activo
167;2020-12-02 08:47:42.294;h;h;h;h;h;619476;328828;948304;No Activo
168;2020-12-02 08:47:42.528;h;h;h;h;h;619444;328860;948304;No Activo
169;2020-12-02 08:47:42.786;h;h;h;h;h;619444;328860;948304;No Activo
170;2020-12-02 08:47:43.049;h;h;h;h;h;619468;328836;948304;No Activo
171;2020-12-02 08:47:43.282;h;h;h;h;h;619500;328804;948304;No Activo
172;2020-12-02 08:47:43.515;h;h;h;h;h;619712;328592;948304;No Activo
173;2020-12-02 08:47:43.747;h;h;h;h;h;619492;328812;948304;No Activo
174;2020-12-02 08:47:44.009;h;h;h;h;h;619460;328844;948304;No Activo
175;2020-12-02 08:47:44.269;h;h;h;h;h;619216;329088;948304;No Activo
176;2020-12-02 08:47:44.502;h;h;h;h;h;618972;329332;948304;No Activo
177;2020-12-02 08:47:44.736;h;h;h;h;h;618956;329348;948304;No Activo
178;2020-12-02 08:47:44.970;h;h;h;h;h;618956;329348;948304;No Activo
179;2020-12-02 08:47:45.230;h;h;h;h;h;618972;329332;948304;No Activo
180;2020-12-02 08:47:45.463;h;h;h;h;h;619020;329284;948304;No Activo
181;2020-12-02 08:47:45.695;h;h;h;h;h;618920;329384;948304;No Activo
182;2020-12-02 08:47:45.930;h;h;h;h;h;618920;329384;948304;No Activo
183;2020-12-02 08:47:46.187;h;h;h;h;h;618920;329384;948304;No Activo
184;2020-12-02 08:47:46.420;h;h;h;h;h;618988;329316;948304;No Activo
185;2020-12-02 08:47:46.653;h;h;h;h;h;618972;329332;948304;No Activo
186;2020-12-02 08:47:46.887;h;h;h;h;h;618956;329348;948304;No Activo
187;2020-12-02 08:47:47.148;h;h;h;h;h;618996;329308;948304;No Activo
188;2020-12-02 08:47:47.405;h;h;h;h;h;618956;329348;948304;No Activo
189;2020-12-02 08:47:47.638;h;h;h;h;h;618988;329316;948304;No Activo
190;2020-12-02 08:47:47.872;h;h;h;h;h;618964;329340;948304;No Activo
191;2020-12-02 08:47:48.105;h;h;h;h;h;618948;329356;948304;No Activo
192;2020-12-02 08:47:48.364;h;h;h;h;h;618460;329844;948304;No Activo
193;2020-12-02 08:47:48.622;h;h;h;h;h;618712;329592;948304;No Activo
194;2020-12-02 08:47:48.855;h;h;h;h;h;618988;329316;948304;No Activo
195;2020-12-02 08:47:49.090;h;h;h;h;h;618744;329560;948304;No Activo
196;2020-12-02 08:47:49.327;h;h;h;h;h;618964;329340;948304;No Activo
197;2020-12-02 08:47:49.588;h;h;h;h;h;618980;329324;948304;No Activo
198;2020-12-02 08:47:49.821;h;h;h;h;h;618712;329592;948304;No Activo
199;2020-12-02 08:47:50.054;h;h;h;h;h;618996;329308;948304;No Activo
200;2020-12-02 08:47:50.287;h;h;h;h;h;619264;329040;948304;No Activo
201;2020-12-02 08:47:50.547;h;h;h;h;h;619240;329064;948304;No Activo
202;2020-12-02 08:47:50.808;h;h;h;h;h;619280;329024;948304;No Activo
203;2020-12-02 08:47:51.042;h;h;h;h;h;619248;329056;948304;No Activo
204;2020-12-02 08:47:51.276;h;h;h;h;h;619240;329064;948304;No Activo
205;2020-12-02 08:47:51.510;h;h;h;h;h;619216;329088;948304;No Activo
206;2020-12-02 08:47:51.769;h;h;h;h;h;619216;329088;948304;No Activo
207;2020-12-02 08:47:52.032;h;h;h;h;h;619232;329072;948304;No Activo
208;2020-12-02 08:47:52.265;h;h;h;h;h;619232;329072;948304;No Activo
209;2020-12-02 08:47:52.499;h;h;h;h;h;619216;329088;948304;No Activo
210;2020-12-02 08:47:52.733;h;h;h;h;h;618964;329340;948304;No Activo
211;2020-12-02 08:47:52.992;h;h;h;h;h;618964;329340;948304;No Activo
212;2020-12-02 08:47:53.255;h;h;h;h;h;619004;329300;948304;No Activo
213;2020-12-02 08:47:53.490;h;h;h;h;h;619004;329300;948304;No Activo
214;2020-12-02 08:47:53.724;h;h;h;h;h;618988;329316;948304;No Activo
215;2020-12-02 08:47:53.957;h;h;h;h;h;618972;329332;948304;No Activo
216;2020-12-02 08:47:54.218;h;h;h;h;h;618972;329332;948304;No Activo
217;2020-12-02 08:47:54.480;h;h;h;h;h;618988;329316;948304;No Activo
218;2020-12-02 08:47:54.715;h;h;h;h;h;618972;329332;948304;No Activo
219;2020-12-02 08:47:54.948;h;h;h;h;h;618988;329316;948304;No Activo
220;2020-12-02 08:47:55.182;h;h;h;h;h;618972;329332;948304;No Activo
221;2020-12-02 08:47:55.442;h;h;h;h;h;618972;329332;948304;No Activo
222;2020-12-02 08:47:55.700;h;h;h;h;h;619012;329292;948304;No Activo
223;2020-12-02 08:47:55.933;h;h;h;h;h;618760;329544;948304;No Activo
224;2020-12-02 08:47:56.167;h;h;h;h;h;618728;329576;948304;No Activo
225;2020-12-02 08:47:56.401;h;h;h;h;h;618744;329560;948304;No Activo
226;2020-12-02 08:47:56.661;h;h;h;h;h;618744;329560;948304;No Activo
227;2020-12-02 08:47:56.919;h;h;h;h;h;618476;329828;948304;No Activo
228;2020-12-02 08:47:57.151;h;h;h;h;h;618500;329804;948304;No Activo
229;2020-12-02 08:47:57.385;h;h;h;h;h;618476;329828;948304;No Activo
230;2020-12-02 08:47:57.618;h;h;h;h;h;618508;329796;948304;No Activo
231;2020-12-02 08:47:57.882;h;h;h;h;h;618500;329804;948304;No Activo
232;2020-12-02 08:47:58.115;h;h;h;h;h;618256;330048;948304;No Activo
233;2020-12-02 08:47:58.350;h;h;h;h;h;618256;330048;948304;No Activo
234;2020-12-02 08:47:58.583;h;h;h;h;h;618492;329812;948304;No Activo
235;2020-12-02 08:47:58.844;h;h;h;h;h;618500;329804;948304;No Activo
236;2020-12-02 08:47:59.076;h;h;h;h;h;618508;329796;948304;No Activo
237;2020-12-02 08:47:59.310;h;h;h;h;h;618728;329576;948304;No Activo
238;2020-12-02 08:47:59.542;h;h;h;h;h;618728;329576;948304;No Activo
239;2020-12-02 08:47:59.801;h;h;h;h;h;617696;330608;948304;No Activo
240;2020-12-02 08:48:00.058;h;h;h;h;h;617980;330324;948304;No Activo
241;2020-12-02 08:48:00.290;h;h;h;h;h;618240;330064;948304;No Activo
242;2020-12-02 08:48:00.522;h;h;h;h;h;618760;329544;948304;No Activo
243;2020-12-02 08:48:00.754;h;h;h;h;h;618980;329324;948304;No Activo
244;2020-12-02 08:48:01.013;h;h;h;h;h;618964;329340;948304;No Activo
245;2020-12-02 08:48:01.271;h;h;h;h;h;618980;329324;948304;No Activo
246;2020-12-02 08:48:01.504;h;h;h;h;h;619240;329064;948304;No Activo
247;2020-12-02 08:48:01.736;h;h;h;h;h;618752;329552;948304;No Activo
248;2020-12-02 08:48:01.968;h;h;h;h;h;618988;329316;948304;No Activo
249;2020-12-02 08:48:02.226;h;h;h;h;h;618736;329568;948304;No Activo
250;2020-12-02 08:48:02.484;h;h;h;h;h;618988;329316;948304;No Activo
251;2020-12-02 08:48:02.716;h;h;h;h;h;618752;329552;948304;No Activo
252;2020-12-02 08:48:02.948;h;h;h;h;h;618988;329316;948304;No Activo
253;2020-12-02 08:48:03.180;h;h;h;h;h;618720;329584;948304;No Activo
254;2020-12-02 08:48:03.438;h;h;h;h;h;618988;329316;948304;No Activo
255;2020-12-02 08:48:03.696;h;h;h;h;h;618484;329820;948304;No Activo
256;2020-12-02 08:48:03.928;h;h;h;h;h;618736;329568;948304;No Activo
257;2020-12-02 08:48:04.160;h;h;h;h;h;618484;329820;948304;No Activo
258;2020-12-02 08:48:04.392;h;h;h;h;h;618736;329568;948304;No Activo
259;2020-12-02 08:48:04.650;h;h;h;h;h;618484;329820;948304;No Activo
260;2020-12-02 08:48:04.908;h;h;h;h;h;618736;329568;948304;No Activo
261;2020-12-02 08:48:05.140;h;h;h;h;h;618736;329568;948304;No Activo
262;2020-12-02 08:48:05.372;h;h;h;h;h;618736;329568;948304;No Activo
263;2020-12-02 08:48:05.604;h;h;h;h;h;618736;329568;948304;No Activo
264;2020-12-02 08:48:05.862;h;h;h;h;h;618484;329820;948304;No Activo
265;2020-12-02 08:48:06.120;h;h;h;h;h;618736;329568;948304;No Activo
266;2020-12-02 08:48:06.355;h;h;h;h;h;618752;329552;948304;No Activo
267;2020-12-02 08:48:06.587;h;h;h;h;h;618768;329536;948304;No Activo
268;2020-12-02 08:48:06.820;h;h;h;h;h;619044;329260;948304;No Activo
269;2020-12-02 08:48:07.077;h;h;h;h;h;619012;329292;948304;No Activo
270;2020-12-02 08:48:07.346;h;h;h;h;h;619012;329292;948304;No Activo
271;2020-12-02 08:48:07.578;h;h;h;h;h;618768;329536;948304;No Activo
272;2020-12-02 08:48:07.812;h;h;h;h;h;618736;329568;948304;No Activo
273;2020-12-02 08:48:08.046;h;h;h;h;h;618744;329560;948304;No Activo
274;2020-12-02 08:48:08.307;h;h;h;h;h;618760;329544;948304;No Activo
275;2020-12-02 08:48:08.569;h;h;h;h;h;618768;329536;948304;No Activo
276;2020-12-02 08:48:08.802;h;h;h;h;h;618784;329520;948304;No Activo
277;2020-12-02 08:48:09.034;h;h;h;h;h;618776;329528;948304;No Activo
278;2020-12-02 08:48:09.266;h;h;h;h;h;618524;329780;948304;No Activo
279;2020-12-02 08:48:09.527;h;h;h;h;h;618508;329796;948304;No Activo
280;2020-12-02 08:48:09.784;h;h;h;h;h;618524;329780;948304;No Activo
281;2020-12-02 08:48:10.017;h;h;h;h;h;618832;329472;948304;No Activo
282;2020-12-02 08:48:10.249;h;h;h;h;h;619084;329220;948304;No Activo
283;2020-12-02 08:48:10.482;h;h;h;h;h;619052;329252;948304;No Activo
284;2020-12-02 08:48:10.739;h;h;h;h;h;619036;329268;948304;No Activo
285;2020-12-02 08:48:11.000;h;h;h;h;h;619036;329268;948304;No Activo
286;2020-12-02 08:48:11.233;h;h;h;h;h;618548;329756;948304;No Activo
287;2020-12-02 08:48:11.466;h;h;h;h;h;618540;329764;948304;No Activo
288;2020-12-02 08:48:11.699;h;h;h;h;h;618572;329732;948304;No Activo
289;2020-12-02 08:48:11.962;h;h;h;h;h;618580;329724;948304;No Activo
290;2020-12-02 08:48:12.219;h;h;h;h;h;618288;330016;948304;No Activo
291;2020-12-02 08:48:12.478;h;h;h;h;h;618540;329764;948304;No Activo
292;2020-12-02 08:48:12.711;h;h;h;h;h;618288;330016;948304;No Activo
293;2020-12-02 08:48:12.944;h;h;h;h;h;618272;330032;948304;No Activo
294;2020-12-02 08:48:13.177;h;h;h;h;h;618320;329984;948304;No Activo
295;2020-12-02 08:48:13.437;h;h;h;h;h;618312;329992;948304;No Activo
296;2020-12-02 08:48:13.697;h;h;h;h;h;618532;329772;948304;No Activo
297;2020-12-02 08:48:13.931;h;h;h;h;h;618540;329764;948304;No Activo
298;2020-12-02 08:48:14.164;h;h;h;h;h;618524;329780;948304;No Activo
299;2020-12-02 08:48:14.398;h;h;h;h;h;618548;329756;948304;No Activo
300;2020-12-02 08:48:14.659;h;h;h;h;h;618548;329756;948304;No Activo
301;2020-12-02 08:48:14.917;h;h;h;h;h;618272;330032;948304;No Activo
302;2020-12-02 08:48:15.151;h;h;h;h;h;618524;329780;948304;No Activo
303;2020-12-02 08:48:15.384;h;h;h;h;h;618304;330000;948304;No Activo
304;2020-12-02 08:48:15.617;h;h;h;h;h;618296;330008;948304;No Activo
305;2020-12-02 08:48:15.879;h;h;h;h;h;618540;329764;948304;No Activo
306;2020-12-02 08:48:16.139;h;h;h;h;h;618524;329780;948304;No Activo
307;2020-12-02 08:48:16.371;h;h;h;h;h;618556;329748;948304;No Activo
308;2020-12-02 08:48:16.604;h;h;h;h;h;618572;329732;948304;No Activo
309;2020-12-02 08:48:16.839;h;h;h;h;h;618556;329748;948304;No Activo
310;2020-12-02 08:48:17.099;h;h;h;h;h;618272;330032;948304;No Activo
311;2020-12-02 08:48:17.362;h;h;h;h;h;618524;329780;948304;No Activo
312;2020-12-02 08:48:17.594;h;h;h;h;h;618556;329748;948304;No Activo
313;2020-12-02 08:48:17.829;h;h;h;h;h;618548;329756;948304;No Activo
314;2020-12-02 08:48:18.062;h;h;h;h;h;618580;329724;948304;No Activo
315;2020-12-02 08:48:18.318;h;h;h;h;h;618524;329780;948304;No Activo
316;2020-12-02 08:48:18.577;h;h;h;h;h;618524;329780;948304;No Activo
317;2020-12-02 08:48:18.811;h;h;h;h;h;618524;329780;948304;No Activo
318;2020-12-02 08:48:19.044;h;h;h;h;h;618540;329764;948304;No Activo
319;2020-12-02 08:48:19.277;h;h;h;h;h;618556;329748;948304;No Activo
320;2020-12-02 08:48:19.538;h;h;h;h;h;618800;329504;948304;No Activo
321;2020-12-02 08:48:19.799;h;h;h;h;h;618524;329780;948304;No Activo
322;2020-12-02 08:48:20.032;h;h;h;h;h;618564;329740;948304;No Activo
323;2020-12-02 08:48:20.264;h;h;h;h;h;618548;329756;948304;No Activo
324;2020-12-02 08:48:20.498;h;h;h;h;h;618808;329496;948304;No Activo
325;2020-12-02 08:48:20.756;h;h;h;h;h;618288;330016;948304;No Activo
326;2020-12-02 08:48:21.017;h;h;h;h;h;618272;330032;948304;No Activo
327;2020-12-02 08:48:21.251;h;h;h;h;h;618288;330016;948304;No Activo
328;2020-12-02 08:48:21.483;h;h;h;h;h;618304;330000;948304;No Activo
329;2020-12-02 08:48:21.717;h;h;h;h;h;618320;329984;948304;No Activo
330;2020-12-02 08:48:21.981;h;h;h;h;h;618352;329952;948304;No Activo
331;2020-12-02 08:48:22.240;h;h;h;h;h;618304;330000;948304;No Activo
332;2020-12-02 08:48:22.474;h;h;h;h;h;618280;330024;948304;No Activo
333;2020-12-02 08:48:22.708;h;h;h;h;h;618548;329756;948304;No Activo
334;2020-12-02 08:48:22.942;h;h;h;h;h;618532;329772;948304;No Activo
335;2020-12-02 08:48:23.200;h;h;h;h;h;618296;330008;948304;No Activo
336;2020-12-02 08:48:23.434;h;h;h;h;h;618296;330008;948304;No Activo
337;2020-12-02 08:48:23.668;h;h;h;h;h;618280;330024;948304;No Activo
338;2020-12-02 08:48:23.901;h;h;h;h;h;618280;330024;948304;No Activo
339;2020-12-02 08:48:24.162;h;h;h;h;h;618280;330024;948304;No Activo
