N° medida;Fecha;Voltaje Shunt;Voltaje Bus;Voltaje total;Corriente;Potencia;Memoria Libre; Memoria Usada;Memoria Total;Proceso Node
1;2020-12-06 04:10:10.259;-78.28;5.252;5.17849;-661.5365853658536;3659.5121951219508;782796;165508;948304;No Activo
2;2020-12-06 04:10:10.550;-47.72;5.332;5.28471;-448.75609756097555;2622.9268292682923;785884;162420;948304;No Activo
3;2020-12-06 04:10:10.797;-46.01;5.332;5.28075;-437.8536585365853;2400.9756097560976;785856;162448;948304;No Activo
4;2020-12-06 04:10:11.080;-51.870000000000005;5.332;5.28916;-453.04878048780483;2618.0487804878044;785612;162692;948304;No Activo
5;2020-12-06 04:10:11.338;-51.620000000000005;5.336;5.28467;-515.1463414634145;2561.463414634146;785856;162448;948304;No Activo
6;2020-12-06 04:10:11.587;-47.39;5.336;5.28958;-615.0487804878048;2443.414634146341;786092;162212;948304;No Activo
7;2020-12-06 04:10:11.841;-46.07;5.34;5.27903;-429.46341463414626;2380.0;786108;162196;948304;No Activo
8;2020-12-06 04:10:12.124;-47.74;5.332;5.2932;-496.75609756097555;2619.024390243902;785856;162448;948304;No Activo
9;2020-12-06 04:10:12.375;-51.84;5.336;5.2863999999999995;-526.560975609756;2803.90243902439;786132;162172;948304;No Activo
10;2020-12-06 04:10:12.627;-49.160000000000004;5.324;5.27793;-472.6585365853658;2700.4878048780483;785896;162408;948304;No Activo
11;2020-12-06 04:10:12.901;-50.24;5.332;5.28531;-458.4634146341463;3098.0487804878044;786400;161904;948304;No Activo
12;2020-12-06 04:10:13.147;-47.27;5.332;5.28639;-479.7560975609756;2448.292682926829;786384;161920;948304;No Activo
13;2020-12-06 04:10:13.394;-47.99;5.3;5.253;-467.56097560975604;2675.609756097561;786828;161476;948304;No Activo
14;2020-12-06 04:10:13.640;-44.160000000000004;5.34;5.2959700000000005;-531.4390243902438;2331.2195121951218;786896;161408;948304;No Activo
15;2020-12-06 04:10:13.919;-47.36;5.328;5.28927;-450.36585365853654;3060.4878048780483;786628;161676;948304;No Activo
16;2020-12-06 04:10:14.168;-48.81;5.332;5.27861;-447.8536585365853;2551.2195121951218;786376;161928;948304;No Activo
17;2020-12-06 04:10:14.419;-50.44;5.328;5.29314;-494.34146341463406;2636.097560975609;786108;162196;948304;No Activo
18;2020-12-06 04:10:14.670;-44.54;5.34;5.29732;-515.0487804878048;2702.9268292682923;785816;162488;948304;No Activo
19;2020-12-06 04:10:14.947;-48.29;5.332;5.2848299999999995;-476.04878048780483;2546.341463414634;785632;162672;948304;No Activo
20;2020-12-06 04:10:15.194;-46.96;5.34;5.29242;-469.9512195121951;2494.634146341463;785884;162420;948304;No Activo
21;2020-12-06 04:10:15.440;-43.910000000000004;5.34;5.279780000000001;-469.24390243902434;2494.634146341463;785884;162420;948304;No Activo
22;2020-12-06 04:10:15.697;-45.18;5.34;5.29112;-515.6585365853657;2437.0731707317073;786136;162168;948304;No Activo
23;2020-12-06 04:10:15.974;-54.64;5.308;5.2751;-474.36585365853654;2525.3658536585363;785672;162632;948304;No Activo
24;2020-12-06 04:10:16.228;-47.4;5.332;5.28308;-455.36585365853654;2519.9999999999995;784660;163644;948304;No Activo
25;2020-12-06 04:10:16.475;-46.800000000000004;5.336;5.2909999999999995;-448.75609756097555;2954.146341463414;784796;163508;948304;No Activo
26;2020-12-06 04:10:16.748;-50.38;5.332;5.29117;-458.9512195121951;3039.5121951219508;785108;163196;948304;No Activo
27;2020-12-06 04:10:16.994;-48.21;5.336;5.28756;-444.36585365853654;3079.5121951219508;785536;162768;948304;No Activo
28;2020-12-06 04:10:17.240;-51.42;5.324;5.289680000000001;-563.6341463414634;3046.8292682926826;785276;163028;948304;No Activo
29;2020-12-06 04:10:17.489;-46.94;5.324;5.2832;-502.4634146341463;2584.8780487804875;785260;163044;948304;No Activo
30;2020-12-06 04:10:17.765;-44.38;5.344;5.29715;-516.4390243902438;2686.8292682926826;785604;162700;948304;No Activo
31;2020-12-06 04:10:18.040;-46.02;5.336;5.281820000000001;-532.0487804878048;2496.585365853658;785856;162448;948304;No Activo
32;2020-12-06 04:10:18.318;-43.81;5.34;5.28277;-437.26829268292676;2353.170731707317;786368;161936;948304;No Activo
33;2020-12-06 04:10:18.599;-48.13;5.328;5.2794300000000005;-590.1463414634146;2412.1951219512193;786360;161944;948304;No Activo
34;2020-12-06 04:10:18.849;-49.95;5.328;5.287520000000001;-496.24390243902434;2650.243902439024;786368;161936;948304;No Activo
35;2020-12-06 04:10:19.099;-47.96;5.332;5.28366;-503.8536585365854;2691.2195121951218;785864;162440;948304;No Activo
36;2020-12-06 04:10:19.373;-50.28;5.332;5.2884400000000005;-557.3414634146341;2462.4390243902435;785832;162472;948304;No Activo
37;2020-12-06 04:10:19.623;-59.77;5.304;5.2818000000000005;-609.7317073170732;2490.2439024390237;785856;162448;948304;No Activo
38;2020-12-06 04:10:19.874;-45.14;5.332;5.27307;-514.4390243902438;2600.4878048780483;785872;162432;948304;No Activo
39;2020-12-06 04:10:20.123;-44.45;5.344;5.27245;-459.4634146341463;2489.7560975609754;785872;162432;948304;No Activo
40;2020-12-06 04:10:20.404;-46.06;5.324;5.27891;-514.7560975609755;2990.7317073170725;785372;162932;948304;No Activo
41;2020-12-06 04:10:20.651;-47.92;5.328;5.27881;-477.4634146341463;2572.682926829268;785860;162444;948304;No Activo
